customerid,recency,frequency,monetary,R,F,M,RFMgroup,RFMScore,loyalty
12968.0,82,5,135.95,3,4,4,344,11,Bronze
12970.0,-23,151,452.24000000000007,1,1,3,113,5,Platinum
12971.0,-27,305,11189.91,1,1,1,111,3,Platinum
12974.0,167,8,144.8,4,4,4,444,12,Bronze
12976.0,181,22,738.6,4,3,2,432,9,Silver
12977.0,126,9,39.24,4,4,4,444,12,Bronze
12980.0,127,20,7374.9,4,3,1,431,8,Gold
12981.0,-1,20,372.2199999999999,2,3,3,233,8,Gold
12982.0,212,28,390.53999999999996,4,3,3,433,10,Silver
12984.0,-12,4,97.5,2,4,4,244,10,Silver
12985.0,-30,76,1239.3799999999999,1,2,2,122,5,Platinum
12987.0,43,28,558.7,3,3,3,333,9,Silver
12988.0,262,92,535.3200000000002,4,2,3,423,9,Silver
12989.0,-27,64,6924.110000000001,1,2,1,121,4,Platinum
12990.0,1,13,409.5000000000001,2,4,3,243,9,Silver
12991.0,-7,31,503.76000000000005,2,3,3,233,8,Gold
12993.0,-7,27,414.75999999999993,2,3,3,233,8,Gold
12994.0,-26,61,974.42,1,2,2,122,5,Platinum
12995.0,55,3,211.32,3,4,4,344,11,Bronze
12997.0,-8,59,1226.89,2,2,2,222,6,Gold
12999.0,166,28,455.88,4,3,3,433,10,Silver
13000.0,76,31,534.8500000000001,3,3,3,333,9,Silver
13001.0,-26,339,9818.82,1,1,1,111,3,Platinum
13002.0,288,7,120.94999999999999,4,4,4,444,12,Bronze
13003.0,75,6,149.05,3,4,4,344,11,Bronze
13004.0,-19,404,5655.91,1,1,1,111,3,Platinum
13005.0,143,26,513.6999999999999,4,3,3,433,10,Silver
13006.0,26,4,81.57,3,4,4,344,11,Bronze
13008.0,293,14,229.47000000000003,4,4,4,444,12,Bronze
13011.0,342,3,50.550000000000004,4,4,4,444,12,Bronze
13012.0,-21,89,1661.8400000000001,1,2,1,121,4,Platinum
13013.0,-29,219,4810.94,1,1,1,111,3,Platinum
13014.0,-20,110,3466.2799999999997,1,1,1,111,3,Platinum
13015.0,23,176,3346.2799999999997,3,1,1,311,5,Platinum
13016.0,43,47,789.8899999999999,3,2,2,322,7,Gold
13017.0,-23,1,204.0,1,4,4,144,9,Silver
13018.0,-14,458,7277.700000000001,1,1,1,111,3,Platinum
13021.0,-26,131,2616.38,1,1,1,111,3,Platinum
13023.0,34,40,689.9000000000001,3,3,2,332,8,Gold
13026.0,-29,40,975.36,1,3,2,132,6,Gold
13027.0,83,26,6912.0,3,3,1,331,7,Gold
13028.0,-8,45,661.3200000000002,2,2,2,222,6,Gold
13029.0,0,10,1247.5,2,4,2,242,8,Gold
13030.0,-19,99,799.4800000000001,1,2,2,122,5,Platinum
13032.0,22,71,1010.1800000000002,3,2,2,322,7,Gold
13033.0,327,11,190.54999999999998,4,4,4,444,12,Bronze
13034.0,24,37,642.7700000000001,3,3,3,333,9,Silver
13035.0,43,27,921.88,3,3,2,332,8,Gold
13037.0,108,48,881.07,3,2,2,322,7,Gold
13038.0,50,28,908.46,3,3,2,332,8,Gold
13040.0,-22,43,676.99,1,2,2,122,5,Platinum
13043.0,243,13,516.4200000000001,4,4,3,443,11,Bronze
13044.0,261,33,560.47,4,3,3,433,10,Silver
13045.0,69,18,305.28,3,3,3,333,9,Silver
13046.0,0,35,629.31,2,3,3,233,8,Gold
13047.0,1,172,3237.54,2,1,1,211,4,Platinum
13048.0,-16,136,1835.9099999999999,1,1,1,111,3,Platinum
13049.0,34,14,656.6800000000002,3,4,2,342,9,Silver
13050.0,-16,403,5836.860000000001,1,1,1,111,3,Platinum
13052.0,182,18,348.15000000000003,4,3,3,433,10,Silver
13055.0,48,76,1214.41,3,2,2,322,7,Gold
13058.0,-6,8,271.4,2,4,4,244,10,Silver
13059.0,219,8,183.4,4,4,4,444,12,Bronze
13060.0,223,15,307.53000000000003,4,4,3,443,11,Bronze
13061.0,42,10,248.61,3,4,4,344,11,Bronze
13062.0,161,11,346.98,4,4,3,443,11,Bronze
13064.0,-18,69,1119.4900000000002,1,2,2,122,5,Platinum
13065.0,343,14,205.85999999999999,4,4,4,444,12,Bronze
13066.0,-6,48,470.79999999999995,2,2,3,223,7,Gold
13067.0,52,15,115.46000000000001,3,4,4,344,11,Bronze
13068.0,-20,2,344.0,1,4,3,143,8,Gold
13069.0,-30,425,4436.12,1,1,1,111,3,Platinum
13070.0,162,9,228.8,4,4,4,444,12,Bronze
13072.0,236,7,177.14999999999998,4,4,4,444,12,Bronze
13075.0,99,22,919.6100000000001,3,3,2,332,8,Gold
13077.0,-29,112,729.2700000000001,1,1,2,112,4,Platinum
13078.0,-27,358,12627.939999999999,1,1,1,111,3,Platinum
13079.0,-26,6,220.09999999999997,1,4,4,144,9,Silver
13080.0,149,6,58.08,4,4,4,444,12,Bronze
13081.0,-19,1028,28337.379999999997,1,1,1,111,3,Platinum
13082.0,96,73,3613.6299999999997,3,2,1,321,6,Gold
13083.0,-26,18,303.75,1,3,3,133,7,Gold
13085.0,127,22,416.08000000000004,4,3,3,433,10,Silver
13089.0,-28,1818,58825.83,1,1,1,111,3,Platinum
13090.0,-22,155,8910.819999999998,1,1,1,111,3,Platinum
13091.0,-2,21,345.82000000000005,2,3,3,233,8,Gold
13092.0,40,25,477.83000000000004,3,3,3,333,9,Silver
13093.0,245,159,7832.470000000001,4,1,1,411,6,Gold
13094.0,-9,24,1927.3200000000002,2,3,1,231,6,Gold
13095.0,40,6,74.4,3,4,4,344,11,Bronze
13097.0,2,423,6010.419999999999,2,1,1,211,4,Platinum
13098.0,-29,572,28882.44,1,1,1,111,3,Platinum
13099.0,69,1,207.35999999999999,3,4,4,344,11,Bronze
13101.0,204,8,101.19,4,4,4,444,12,Bronze
13102.0,-29,304,6424.089999999999,1,1,1,111,3,Platinum
13103.0,9,8,243.94,2,4,4,244,10,Silver
13104.0,-27,20,1098.48,1,3,2,132,6,Gold
13106.0,103,1,76.5,3,4,4,344,11,Bronze
13107.0,14,58,1531.6200000000003,2,2,2,222,6,Gold
13108.0,342,10,350.05999999999995,4,4,3,443,11,Bronze
13109.0,29,47,786.54,3,2,2,322,7,Gold
13110.0,1,145,1488.67,2,1,2,212,5,Platinum
13113.0,-30,201,12245.96,1,1,1,111,3,Platinum
13115.0,-19,120,2294.7799999999997,1,1,1,111,3,Platinum
13116.0,108,30,501.14,3,3,3,333,9,Silver
13117.0,-9,76,984.9100000000001,2,2,2,222,6,Gold
13118.0,-11,79,1197.81,2,2,2,222,6,Gold
13120.0,208,1,30.599999999999998,4,4,4,444,12,Bronze
13121.0,239,50,283.72999999999996,4,2,4,424,10,Silver
13122.0,64,55,922.39,3,2,2,322,7,Gold
13124.0,59,235,3866.33,3,1,1,311,5,Platinum
13126.0,-26,140,2099.64,1,1,1,111,3,Platinum
13127.0,47,15,259.16999999999996,3,4,4,344,11,Bronze
13130.0,64,2,64.0,3,4,4,344,11,Bronze
13131.0,-7,44,1073.2999999999997,2,2,2,222,6,Gold
13132.0,231,3,77.3,4,4,4,444,12,Bronze
13133.0,243,7,109.80000000000001,4,4,4,444,12,Bronze
13134.0,55,98,1793.5800000000002,3,2,1,321,6,Gold
13135.0,166,1,3096.0,4,4,1,441,9,Silver
13136.0,26,127,2607.6099999999997,3,1,1,311,5,Platinum
13137.0,-20,704,3650.41,1,1,1,111,3,Platinum
13138.0,-8,63,962.39,2,2,2,222,6,Gold
13139.0,-14,170,5064.9400000000005,1,1,1,111,3,Platinum
13140.0,78,46,423.72,3,2,3,323,8,Gold
13141.0,54,135,2388.75,3,1,1,311,5,Platinum
13142.0,-11,23,307.0899999999999,2,3,3,233,8,Gold
13144.0,302,3,110.94999999999999,4,4,4,444,12,Bronze
13145.0,9,6,618.52,2,4,3,243,9,Silver
13146.0,-4,17,228.91,2,4,4,244,10,Silver
13147.0,-20,4,712.8000000000001,1,4,2,142,7,Gold
13148.0,-1,319,3707.12,2,1,1,211,4,Platinum
13149.0,-16,86,1676.0600000000002,1,2,1,121,4,Platinum
13151.0,265,74,1257.8700000000003,4,2,2,422,8,Gold
13153.0,-25,15,486.22,1,4,3,143,8,Gold
13155.0,3,85,971.7600000000002,2,2,2,222,6,Gold
13157.0,19,87,1741.2199999999998,2,2,1,221,5,Platinum
13158.0,64,79,1201.06,3,2,2,322,7,Gold
13159.0,-22,121,1437.85,1,1,2,112,4,Platinum
13160.0,-8,4,91.8,2,4,4,244,10,Silver
13161.0,283,8,112.75,4,4,4,444,12,Bronze
13162.0,92,79,1688.2899999999997,3,2,1,321,6,Gold
13165.0,16,42,1021.48,2,2,2,222,6,Gold
13166.0,253,41,417.20000000000005,4,3,3,433,10,Silver
13167.0,-12,65,791.3299999999999,2,2,2,222,6,Gold
13168.0,6,131,1319.19,2,1,2,212,5,Platinum
13169.0,33,13,712.88,3,4,2,342,9,Silver
13170.0,-4,32,116.00999999999999,2,3,4,234,9,Silver
13171.0,-9,46,468.40999999999997,2,2,3,223,7,Gold
13173.0,-26,43,353.65000000000003,1,2,3,123,6,Gold
13174.0,-14,314,2817.0299999999997,1,1,1,111,3,Platinum
13176.0,16,72,492.84000000000003,2,2,3,223,7,Gold
13177.0,34,17,282.45,3,4,4,344,11,Bronze
13178.0,-4,265,5725.469999999999,2,1,1,211,4,Platinum
13182.0,15,11,121.18,2,4,4,244,10,Silver
13183.0,-23,94,3957.7800000000007,1,2,1,121,4,Platinum
13184.0,-16,181,1701.29,1,1,1,111,3,Platinum
13185.0,237,1,71.4,4,4,4,444,12,Bronze
13186.0,9,79,1575.89,2,2,2,222,6,Gold
13187.0,307,37,236.01999999999998,4,3,4,434,11,Bronze
13188.0,-19,2,114.60000000000001,1,4,4,144,9,Silver
13189.0,-12,29,260.67999999999995,2,3,4,234,9,Silver
13192.0,65,63,911.9400000000002,3,2,2,322,7,Gold
13193.0,31,29,117.88000000000001,3,3,4,334,10,Silver
13194.0,105,3,60.7,3,4,4,344,11,Bronze
13196.0,-19,110,1797.78,1,1,1,111,3,Platinum
13198.0,-20,226,3401.24,1,1,1,111,3,Platinum
13199.0,-27,119,9817.119999999999,1,1,1,111,3,Platinum
13200.0,-11,46,870.0900000000001,2,2,2,222,6,Gold
13203.0,-21,57,869.4599999999999,1,2,2,122,5,Platinum
13207.0,-15,8,250.26000000000002,1,4,4,144,9,Silver
13208.0,28,149,1223.9,3,1,2,312,6,Gold
13209.0,0,321,5891.61,2,1,1,211,4,Platinum
13210.0,63,22,353.48,3,3,3,333,9,Silver
13211.0,-20,56,1197.42,1,2,2,122,5,Platinum
13212.0,-11,142,788.0799999999999,2,1,2,212,5,Platinum
13213.0,26,90,1520.58,3,2,2,322,7,Gold
13216.0,237,5,333.74,4,4,3,443,11,Bronze
13217.0,92,4,533.98,3,4,3,343,10,Silver
13218.0,97,5,62.64,3,4,4,344,11,Bronze
13220.0,48,21,819.29,3,3,2,332,8,Gold
13221.0,210,66,847.4100000000001,4,2,2,422,8,Gold
13223.0,170,5,163.20000000000002,4,4,4,444,12,Bronze
13224.0,30,108,2155.9499999999994,3,1,1,311,5,Platinum
13225.0,-27,32,6463.84,1,3,1,131,5,Platinum
13226.0,243,16,108.21,4,4,4,444,12,Bronze
13227.0,171,9,257.7,4,4,4,444,12,Bronze
13228.0,51,2,358.0,3,4,3,343,10,Silver
13229.0,195,10,160.95,4,4,4,444,12,Bronze
13230.0,-26,611,2806.9700000000003,1,1,1,111,3,Platinum
13232.0,-18,207,1357.6000000000001,1,1,2,112,4,Platinum
13233.0,44,43,605.1199999999999,3,2,3,323,8,Gold
13235.0,182,58,1031.0700000000002,4,2,2,422,8,Gold
13236.0,-6,36,744.85,2,3,2,232,7,Gold
13238.0,-13,31,700.7299999999999,1,3,2,132,6,Gold
13239.0,231,22,329.56,4,3,3,433,10,Silver
13240.0,66,67,663.6500000000001,3,2,2,322,7,Gold
13242.0,82,13,270.40000000000003,3,4,4,344,11,Bronze
13243.0,173,58,600.0700000000002,4,2,3,423,9,Silver
13244.0,62,27,121.74,3,3,4,334,10,Silver
13245.0,20,16,430.5,2,4,3,243,9,Silver
13246.0,-12,141,1987.3,2,1,1,211,4,Platinum
13247.0,-13,25,501.11999999999995,1,3,3,133,7,Gold
13248.0,94,26,465.67999999999995,3,3,3,333,9,Silver
13249.0,62,23,711.41,3,3,2,332,8,Gold
13253.0,126,36,1030.3999999999999,4,3,2,432,9,Silver
13255.0,-21,13,399.51,1,4,3,143,8,Gold
13256.0,-16,1,0.0,1,4,4,144,9,Silver
13258.0,-19,38,698.5799999999999,1,3,2,132,6,Gold
13259.0,31,87,292.31999999999994,3,2,4,324,9,Silver
13260.0,31,8,557.62,3,4,3,343,10,Silver
13261.0,238,9,944.1,4,4,2,442,10,Silver
13262.0,233,11,200.29,4,4,4,444,12,Bronze
13263.0,-29,1677,7454.07,1,1,1,111,3,Platinum
13265.0,23,91,2107.6600000000003,3,2,1,321,6,Gold
13266.0,-19,187,3834.26,1,1,1,111,3,Platinum
13267.0,-28,211,4521.49,1,1,1,111,3,Platinum
13268.0,-13,440,3214.69,1,1,1,111,3,Platinum
13269.0,-29,316,5346.23,1,1,1,111,3,Platinum
13270.0,336,1,590.0,4,4,3,443,11,Bronze
13271.0,7,96,217.38,2,2,4,224,8,Gold
13272.0,1,15,276.56000000000006,2,4,4,244,10,Silver
13273.0,83,16,138.98,3,4,4,344,11,Bronze
13276.0,33,30,590.93,3,3,3,333,9,Silver
13277.0,-15,8,258.4,1,4,4,144,9,Silver
13278.0,10,46,542.73,2,2,3,223,7,Gold
13279.0,48,9,137.75,3,4,4,344,11,Bronze
13280.0,92,85,814.86,3,2,2,322,7,Gold
13282.0,-12,37,1132.14,2,3,2,232,7,Gold
13283.0,29,7,93.66,3,4,4,344,11,Bronze
13284.0,300,13,201.19,4,4,4,444,12,Bronze
13285.0,-7,187,2709.1200000000003,2,1,1,211,4,Platinum
13291.0,125,42,361.11,4,2,3,423,9,Silver
13292.0,8,31,578.9399999999999,2,3,3,233,8,Gold
13294.0,159,54,873.74,4,2,2,422,8,Gold
13295.0,329,10,201.2,4,4,4,444,12,Bronze
13296.0,107,5,87.4,3,4,4,344,11,Bronze
13297.0,-23,59,2089.85,1,2,1,121,4,Platinum
13298.0,-29,2,360.0,1,4,3,143,8,Gold
13299.0,238,5,142.5,4,4,4,444,12,Bronze
13300.0,139,20,371.89,4,3,3,433,10,Silver
13301.0,73,81,618.09,3,2,3,323,8,Gold
13302.0,125,1,63.75,4,4,4,444,12,Bronze
13304.0,321,21,300.41999999999996,4,3,3,433,10,Silver
13305.0,-26,81,2000.8599999999997,1,2,1,121,4,Platinum
13307.0,90,1,15.0,3,4,4,344,11,Bronze
13308.0,-8,54,1385.51,2,2,2,222,6,Gold
13309.0,-23,107,1456.79,1,1,2,112,4,Platinum
13310.0,-2,72,1132.0300000000002,2,2,2,222,6,Gold
13311.0,-26,26,598.57,1,3,3,133,7,Gold
13313.0,-8,78,1555.32,2,2,2,222,6,Gold
13314.0,-29,62,775.94,1,2,2,122,5,Platinum
13316.0,7,87,5977.7300000000005,2,2,1,221,5,Platinum
13317.0,36,124,2273.6800000000003,3,1,1,311,5,Platinum
13318.0,-29,20,640.7600000000001,1,3,3,133,7,Gold
13319.0,-25,476,10845.55,1,1,1,111,3,Platinum
13320.0,48,106,1548.6999999999998,3,1,2,312,6,Gold
13321.0,42,11,567.36,3,4,3,343,10,Silver
13322.0,-13,25,199.48,1,3,4,134,8,Gold
13323.0,-27,21,787.8499999999999,1,3,2,132,6,Gold
13324.0,6,75,7121.95,2,2,1,221,5,Platinum
13325.0,51,12,675.3,3,4,2,342,9,Silver
13327.0,8,108,3627.77,2,1,1,211,4,Platinum
13328.0,286,17,1308.48,4,4,2,442,10,Silver
13329.0,1,17,789.0,2,4,2,242,8,Gold
13330.0,62,53,1140.93,3,2,2,322,7,Gold
13332.0,-16,21,350.9,1,3,3,133,7,Gold
13334.0,52,268,3536.8200000000006,3,1,1,311,5,Platinum
13336.0,47,51,795.1200000000001,3,2,2,322,7,Gold
13338.0,127,19,487.02000000000004,4,3,3,433,10,Silver
13339.0,170,54,860.12,4,2,2,422,8,Gold
13340.0,15,134,10736.48,2,1,1,211,4,Platinum
13341.0,230,42,775.8499999999999,4,2,2,422,8,Gold
13343.0,147,19,353.43,4,3,3,433,10,Silver
13344.0,37,119,2543.7200000000007,3,1,1,311,5,Platinum
13345.0,257,20,389.5,4,3,3,433,10,Silver
13347.0,40,8,341.36,3,4,3,343,10,Silver
13348.0,34,14,233.76,3,4,4,344,11,Bronze
13349.0,-20,16,247.32,1,4,4,144,9,Silver
13350.0,-14,40,979.12,1,3,2,132,6,Gold
13351.0,36,16,373.94,3,4,3,343,10,Silver
13352.0,30,24,397.97999999999996,3,3,3,333,9,Silver
13354.0,41,51,743.5300000000001,3,2,2,322,7,Gold
13355.0,92,32,674.7,3,3,2,332,8,Gold
13356.0,50,42,768.2400000000001,3,2,2,322,7,Gold
13357.0,227,90,609.95,4,2,3,423,9,Silver
13358.0,238,29,439.03000000000003,4,3,3,433,10,Silver
13359.0,33,23,439.55999999999995,3,3,3,333,9,Silver
13362.0,-21,166,3090.7400000000002,1,1,1,111,3,Platinum
13363.0,-13,60,992.5,1,2,2,122,5,Platinum
13364.0,41,10,134.96,3,4,4,344,11,Bronze
13365.0,3,128,2225.37,2,1,1,211,4,Platinum
13366.0,20,1,56.160000000000004,2,4,4,244,10,Silver
13368.0,226,29,623.4,4,3,3,433,10,Silver
13369.0,335,14,308.28,4,4,3,443,11,Bronze
13370.0,341,39,754.8700000000001,4,3,2,432,9,Silver
13372.0,59,23,378.63999999999993,3,3,3,333,9,Silver
13373.0,30,158,3312.2500000000005,3,1,1,311,5,Platinum
13375.0,58,37,778.65,3,3,2,332,8,Gold
13376.0,69,53,1019.76,3,2,2,322,7,Gold
13379.0,-4,97,572.56,2,2,3,223,7,Gold
13381.0,1,172,3639.31,2,1,1,211,4,Platinum
13382.0,250,15,222.99,4,4,4,444,12,Bronze
13384.0,0,152,4151.93,2,1,1,211,4,Platinum
13385.0,299,35,534.5699999999999,4,3,3,433,10,Silver
13388.0,101,35,677.1,3,3,2,332,8,Gold
13389.0,-19,51,797.9599999999999,1,2,2,122,5,Platinum
13390.0,44,13,544.08,3,4,3,343,10,Silver
13391.0,173,1,59.8,4,4,4,444,12,Bronze
13394.0,-29,155,2520.0200000000004,1,1,1,111,3,Platinum
13395.0,155,21,307.71999999999997,4,3,3,433,10,Silver
13396.0,-1,43,1360.99,2,2,2,222,6,Gold
13397.0,42,38,1544.1299999999999,3,3,2,332,8,Gold
13398.0,162,26,457.34000000000003,4,3,3,433,10,Silver
13402.0,97,39,621.2300000000002,3,3,3,333,9,Silver
13403.0,-13,3,75.0,1,4,4,144,9,Silver
13404.0,-29,11,252.49,1,4,4,144,9,Silver
13405.0,44,27,572.4509999999999,3,3,3,333,9,Silver
13408.0,-29,478,28117.04,1,1,1,111,3,Platinum
13410.0,-6,28,1003.0600000000002,2,3,2,232,7,Gold
13411.0,77,18,213.55,3,3,4,334,10,Silver
13414.0,103,24,1390.5,3,3,2,332,8,Gold
13416.0,13,19,712.5,2,3,2,232,7,Gold
13417.0,-26,28,640.83,1,3,3,133,7,Gold
13418.0,-19,304,6127.43,1,1,1,111,3,Platinum
13419.0,33,16,221.06,3,4,4,344,11,Bronze
13420.0,119,8,159.85,4,4,4,444,12,Bronze
13421.0,10,104,1851.08,2,1,1,211,4,Platinum
13422.0,34,127,2626.3,3,1,1,311,5,Platinum
13425.0,78,78,1624.2100000000003,3,2,1,321,6,Gold
13426.0,-30,157,3641.3199999999997,1,1,1,111,3,Platinum
13427.0,-11,29,582.6,2,3,3,233,8,Gold
13428.0,-20,74,218.46999999999997,1,2,4,124,7,Gold
13429.0,-20,67,1006.7999999999998,1,2,2,122,5,Platinum
13430.0,-12,49,679.4499999999999,2,2,2,222,6,Gold
13431.0,37,46,1269.1,3,2,2,322,7,Gold
13434.0,44,10,534.24,3,4,3,343,10,Silver
13435.0,-25,101,3809.89,1,1,1,111,3,Platinum
13436.0,-29,12,196.88999999999996,1,4,4,144,9,Silver
13437.0,-16,167,3408.0600000000004,1,1,1,111,3,Platinum
13439.0,225,54,283.71,4,2,4,424,10,Silver
13441.0,61,13,296.64000000000004,3,4,4,344,11,Bronze
13447.0,-7,59,1129.1400000000003,2,2,2,222,6,Gold
13448.0,-14,195,3539.3700000000003,1,1,1,111,3,Platinum
13449.0,-7,19,291.88000000000005,2,3,4,234,9,Silver
13450.0,-4,71,2043.72,2,2,1,221,5,Platinum
13451.0,-4,443,2976.15,2,1,1,211,4,Platinum
13452.0,229,2,590.0,4,4,3,443,11,Bronze
13453.0,135,17,356.97999999999996,4,4,3,443,11,Bronze
13455.0,-6,46,1058.3400000000001,2,2,2,222,6,Gold
13456.0,-13,63,1766.72,1,2,1,121,4,Platinum
13458.0,-23,382,9646.57,1,1,1,111,3,Platinum
13460.0,-1,17,183.44,2,4,4,244,10,Silver
13461.0,8,27,1445.0000000000002,2,3,2,232,7,Gold
13462.0,222,9,151.5,4,4,4,444,12,Bronze
13464.0,28,41,674.6800000000001,3,3,2,332,8,Gold
13466.0,154,17,307.90000000000003,4,4,3,443,11,Bronze
13467.0,-20,99,1083.71,1,2,2,122,5,Platinum
